time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
1327104,649,2042,1.0,1,-1.0,-0.05424348395911996,0.0003,0.045692313,-2.0284743309020996,0.07627065047621727,9.07435841571343e-06,530,0.2,0.46422119140625,-3.1354925389712056,0.5547763705253601,-0.06192977353930473
1351680,634,2130,1.0,1,-1.0,-0.06478820711903002,0.0003,0.0537243,-1.4207754135131836,0.07512406393885612,5.563541519393311e-06,540,0.2,0.5027669270833334,-3.1394787855446338,0.55475914478302,-0.05909651145339012
1376256,644,2133,1.0,1,-1.0,-0.09279668906140917,0.0003,1.3406634,-0.9366072416305542,0.06900112111121416,1.3482070390550641e-05,550,0.2,0.7538167317708333,-3.0361454835161568,0.5355051159858704,-0.10468889772891998
1400832,642,2179,1.0,1,-1.0,-0.0936500954288931,0.0003,0.12274763,-0.39609622955322266,0.07705214865505695,7.763614605845367e-06,560,0.2,0.6142252604166667,-2.951983829960227,0.5253719091415405,-0.10173174738883972
1425408,638,2232,1.0,1,-1.0,-0.06299094480006412,0.0003,0.08579585,-2.1423492431640625,0.07516634952276945,7.692863105039176e-06,570,0.2,0.5395222981770833,-2.893978931506475,0.5171011090278625,-0.08777573704719543
1449984,640,2262,1.0,1,-1.0,-0.0661022483574925,0.0003,0.06513142,-1.6411774158477783,0.07277199003845453,6.453620119891331e-06,580,0.2,0.5322957356770833,-2.809358004294336,0.5070419311523438,-0.09592544287443161
1474560,647,2277,1.0,1,-1.0,-0.07216761684733987,0.0003,0.056002695,-0.9840569496154785,0.07242040190845728,5.332093464316401e-06,590,0.2,0.49171549479166665,-2.7001826614141464,0.4912039041519165,-0.08127857744693756
1499136,647,2315,1.0,1,-1.0,-0.057537066714576215,0.0003,0.060649913,-2.1126961708068848,0.06918167378753423,4.2482486628081516e-06,600,0.2,0.47716064453125,-2.600096564553678,0.47826969623565674,-0.04576977714896202
1523712,661,2303,1.0,1,-1.0,-0.03000647391042245,0.0003,0.52334815,-10.635522842407227,0.06637104887515306,1.7779190530549844e-06,610,0.2,0.4331746419270833,-2.5135258874545494,0.46651691198349,-0.03939780592918396
1548288,665,2327,1.0,1,-1.0,-0.04043317041505361,0.0003,0.035707686,-3.427794933319092,0.0675644689053297,3.2548960290664415e-06,620,0.2,0.3863037109375,-2.4018419163301585,0.454428493976593,-0.02527591399848461
1572864,658,2389,1.0,1,-1.0,-0.04583299676911944,0.0003,0.035967022,-2.187256097793579,0.06270592976361514,5.19405598740826e-06,630,0.2,0.40772705078125,-2.2746692166974145,0.4396991729736328,-0.05549902468919754
1597440,660,2419,1.0,1,-1.0,-0.04323920058801984,0.0003,0.03899537,-1.9016666412353516,0.06050979133695364,2.5671225276376515e-06,640,0.2,0.40206298828125,-2.1385255800560117,0.4263831079006195,-0.05075046792626381
1622016,678,2389,1.0,1,-1.0,-0.04220992948636801,0.0003,0.03444152,-1.1707322597503662,0.056891386210918424,3.2417106704577906e-06,650,0.2,0.37454020182291664,-2.002131416896979,0.41227585077285767,-0.009637928567826748
