rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,rollout/ep_rew_wrapped_mean,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/approx_kl
15.65,-15.65,7741440,67,114833,1,0.0010333057725802064,0.040259002801030876,0.9989841941278428,0.2,3.9264174501722056,-675.0905156707763,0.0003,0.0009333219060484528,0.09391070157289505,0.587158203125,3140,0.8176108
15.61,-15.61,7766016,65,118076,1,0.02306579053401947,0.04029965437524273,0.9981929785571992,0.2,3.892997960932553,-671.2910186350346,0.0003,0.0017266237209544973,0.0945863202214241,0.5863321940104167,3150,0.16565116
15.64,-15.64,7790592,65,119091,1,0.05290784314274788,0.035477035742830294,0.9988675082568079,0.2,3.9127841856951515,-673.3323812365531,0.0003,0.0014974240648522633,0.09404078871011734,0.5632771809895833,3160,0.11275614
15.6,-15.6,7815168,67,115939,1,0.029955588281154633,0.035798111962988814,0.9989394893636927,0.2,3.9251997912302614,-675.9872452771664,0.0003,0.0013498351442649437,0.09374086558818817,0.562841796875,3170,0.107707225
15.55,-15.55,7839744,65,118905,1,0.009529128670692444,0.03749972950924227,0.9990161758614704,0.2,3.8877803563450772,-675.2888276988268,0.0003,0.0013013313091050805,0.09484581649303436,0.571142578125,3180,0.109911405
15.56,-15.56,7864320,66,118196,1,0.32483479380607605,0.03665017154125962,0.9991486336803064,0.2,3.8810515755787494,-673.2856837445497,0.0003,0.0010762844456204826,0.09449176490306854,0.5657023111979167,3190,0.18376124
15.6,-15.6,7888896,67,117544,1,0.04930758476257324,0.03738402485663149,0.9993208201485686,0.2,3.8884130815664926,-673.2546729570627,0.0003,0.0008315439071225228,0.0945623368024826,0.5731730143229167,3200,0.19418897
15.6,-15.6,7913472,65,120620,1,0.06056971848011017,0.038003142955494694,0.9988456983119249,0.2,3.8946572907269,-676.2750567191839,0.0003,0.0015256794324045586,0.09411914646625519,0.59466552734375,3210,0.24124227
15.59,-15.59,7938048,67,118216,1,-0.007218115963041782,0.04529430907132337,0.9991970472037792,0.2,3.9077147280797364,-678.8524950516224,0.0003,0.0009846219273223747,0.09408804774284363,0.5798624674479167,3220,0.28949907
15.6,-15.6,7962624,67,117369,1,0.032621391117572784,0.03684210955082866,0.9990877326927148,0.2,3.9183350736275315,-673.5343014448881,0.0003,0.0012207048812229004,0.09393230080604553,0.5730875651041667,3230,0.12258434
