raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,198490,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198491,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198491,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198492,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198492,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198493,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198493,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198494,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198494,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198495,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198495,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198496,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198496,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198497,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198497,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198498,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198498,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198499,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198499,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198500,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198500,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198501,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198501,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198502,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198502,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198503,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198503,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198504,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198504,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198505,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198505,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198506,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198506,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198507,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198507,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198508,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198508,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198509,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
